Portfolio,Ticker,Type,Quantity,Price,Date
Kh?i d?u,SSI,BUY,100.000000,100.0000,2026-06-11 00:00:00
Kh?i d?u,SSI,BUY,100.000000,100.0000,2026-06-11 00:00:00
Kh?i d?u,SHS,BUY,300.000000,11138.0000,2026-06-10 00:00:00
Kh?i d?u,SSI,BUY,100.000000,38000.0000,2026-06-10 00:00:00
Kh?i d?u,CII,BUY,100.000000,18300.0000,2026-06-08 00:00:00
Kh?i d?u,CII,BUY,100.000000,18300.0000,2026-06-08 00:00:00
Kh?i d?u,VIB,BUY,100.000000,24000.0000,2026-04-17 00:00:00
Kh?i d?u,VIB,SELL,100.000000,24.0000,2026-04-17 00:00:00
Kh?i d?u,VIB,BUY,100.000000,24.0000,2026-04-17 00:00:00
Kh?i d?u,VCK,SELL,100.000000,37.0000,2026-04-16 00:00:00
abc,CII,BUY,100.000000,18300.0000,2026-06-09 00:00:00
